Date : 2024-02-18 17:29:39
Directory : /Users/espen/Projects/KiCad/projects/ultimate-invitation-card
Total : 138 files,  62301 codes, 1083 comments, 1750 blanks, all 65134 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/build_byte_array.php         | PHP                |         35 |          0 |         17 |         52 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/dist/html_captive_portal.hpp | C++                |        101 |          0 |          4 |        105 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/dist/html_templates.hpp      | C++                |          6 |          0 |          2 |          8 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/dist/index.html              | HTML               |        198 |          0 |         40 |        238 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/dist/main.css                | CSS                |         27 |          3 |          2 |         32 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/dist/main.js                 | JavaScript         |        122 |         61 |         40 |        223 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/docker/docker-compose.yml    | YAML               |          9 |          0 |          1 |         10 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/package-lock.json            | JSON               |     16,013 |          0 |          1 |     16,014 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/package.json                 | JSON               |         46 |          0 |          1 |         47 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/src/index.html.ejs           | HTML               |         16 |          0 |          0 |         16 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/src/main.js                  | JavaScript         |        153 |         18 |         16 |        187 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/src/main.scss                | SCSS               |        115 |          0 |          0 |        115 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/captive_portal/webpack.config.js            | JavaScript         |         73 |          7 |         11 |         91 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/countdown.h                                 | C++                |        821 |         12 |          4 |        837 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/dotmatrix_img.h                             | C++                |        139 |          3 |          3 |        145 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/font_8x8.cpp                                | C++                |        269 |          0 |          5 |        274 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/font_8x8.hpp                                | C++                |         13 |          0 |         10 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/html_captive_portal.hpp                     | C++                |      7,353 |          0 |          4 |      7,357 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/i_font.hpp                                  | C++                |         11 |          0 |          2 |         13 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/iso8859-1_roll.h                            | C++                |        248 |          3 |          6 |        257 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/iso8859-1_text.h                            | C++                |        769 |          5 |          5 |        779 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/matrix.h                                    | C++                |      9,256 |        138 |          6 |      9,400 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/neei.h                                      | C++                |      2,731 |         34 |          3 |      2,768 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/power_on_intro.h                            | C++                |      3,227 |         48 |          4 |      3,279 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/respond_intro.h                             | C++                |        413 |          6 |          6 |        425 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/venue_video.h                               | C++                |     10,058 |        149 |          6 |     10,213 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/resources/wee.h                                       | C++                |      3,089 |         47 |          3 |      3,139 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/address_rundown.cpp                           | C++                |         25 |          2 |          7 |         34 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/address_rundown.hpp                           | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/bring_rundown.cpp                             | C++                |         26 |          3 |          8 |         37 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/bring_rundown.hpp                             | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/clothing_rundown.cpp                          | C++                |        106 |         18 |         24 |        148 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/clothing_rundown.hpp                          | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/countdown_rundown.cpp                         | C++                |        158 |         12 |         28 |        198 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/countdown_rundown.hpp                         | C++                |         12 |          0 |          3 |         15 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/happy_roller_rundown.cpp                      | C++                |         28 |          0 |          8 |         36 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/happy_roller_rundown.hpp                      | C++                |         12 |          0 |          4 |         16 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/i_rundown.hpp                                 | C++                |         10 |          0 |          3 |         13 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/info_more_rundown.cpp                         | C++                |         16 |          1 |          6 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/info_more_rundown.hpp                         | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/info_rundown.cpp                              | C++                |         16 |          1 |          6 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/info_rundown.hpp                              | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_coming_rundown.cpp                      | C++                |         78 |          9 |         14 |        101 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_coming_rundown.hpp                      | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_not_coming_rundown.cpp                  | C++                |         84 |         10 |         15 |        109 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_not_coming_rundown.hpp                  | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_rundown.cpp                             | C++                |         64 |          8 |         13 |         85 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/intro_rundown.hpp                             | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/low_battery_rundown.cpp                       | C++                |         14 |          1 |          6 |         21 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/low_battery_rundown.hpp                       | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_not_sent_rundown.cpp                | C++                |         17 |          1 |          5 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_not_sent_rundown.hpp                | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_responded_rundown.cpp               | C++                |         17 |          1 |          5 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_responded_rundown.hpp               | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_rundown.cpp                         | C++                |         17 |          1 |          5 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/main_menu_rundown.hpp                         | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/neei_rundown.cpp                              | C++                |         34 |          4 |          9 |         47 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/neei_rundown.hpp                              | C++                |         12 |          0 |          4 |         16 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/nvs_deleted_rundown.cpp                       | C++                |         13 |          1 |          6 |         20 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/nvs_deleted_rundown.hpp                       | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/qrcode_rundown.cpp                            | C++                |         19 |          2 |          7 |         28 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/qrcode_rundown.hpp                            | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_amend_rundown.cpp                     | C++                |        142 |         26 |         31 |        199 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_amend_rundown.hpp                     | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_provision_and_amend_rundown.cpp       | C++                |        142 |         26 |         31 |        199 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_provision_and_amend_rundown.hpp       | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_rundown.cpp                           | C++                |        142 |         26 |         31 |        199 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_rundown.hpp                           | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_with_wifi_intro_rundown.cpp           | C++                |         27 |          3 |          8 |         38 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_with_wifi_intro_rundown.hpp           | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_with_wifi_rundown.cpp                 | C++                |         45 |          5 |         10 |         60 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/respond_with_wifi_rundown.hpp                 | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/sad_roller_rundown.cpp                        | C++                |         28 |          2 |          8 |         38 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/sad_roller_rundown.hpp                        | C++                |         12 |          0 |          4 |         16 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/time_rundown.cpp                              | C++                |         16 |          1 |          6 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/time_rundown.hpp                              | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_from_rundown.cpp                    | C++                |         28 |          3 |          8 |         39 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_from_rundown.hpp                    | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_rundown.cpp                         | C++                |         16 |          1 |          6 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_rundown.hpp                         | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_to_rundown.cpp                      | C++                |         28 |          3 |          8 |         39 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/transport_to_rundown.hpp                      | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/unable_to_send_rundown.cpp                    | C++                |         28 |          1 |          8 |         37 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/unable_to_send_rundown.hpp                    | C++                |         12 |          0 |          4 |         16 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/venue_rundown.cpp                             | C++                |         16 |          1 |          6 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/venue_rundown.hpp                             | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wee_rundown.cpp                               | C++                |         28 |          0 |          8 |         36 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wee_rundown.hpp                               | C++                |         12 |          0 |          4 |         16 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_ap_not_found_rundown.cpp                 | C++                |         16 |          0 |          6 |         22 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_ap_not_found_rundown.hpp                 | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_disconnected_rundown.cpp                 | C++                |         16 |          0 |          6 |         22 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_disconnected_rundown.hpp                 | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_login_failure_rundown.cpp                | C++                |         16 |          0 |          6 |         22 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_login_failure_rundown.hpp                | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_login_rundown.cpp                        | C++                |         16 |          0 |          6 |         22 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_login_rundown.hpp                        | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_provisioning_rundown.cpp                 | C++                |         34 |          4 |         10 |         48 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_provisioning_rundown.hpp                 | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_rundown.cpp                              | C++                |         16 |          1 |          6 |         23 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/main/rundown/wifi_rundown.hpp                              | C++                |         11 |          0 |          3 |         14 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/firmware/ultimate-invitation-card/partitions.csv                                             | CSV                |          4 |          0 |          1 |          5 |
| /Users/espen/Projects/KiCad/projects/ultimate-invitation-card/ultimate-invitation-card.code-workspace                                                      | JSON with Comments |         42 |          0 |          0 |         42 |
| Total                                                                                                                                                      |                    |     62,301 |      1,083 |      1,750 |     65,134 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
